collision_index,collision_year,collision_ref_no,location_easting_osgr,location_northing_osgr,longitude,latitude,police_force,collision_severity,number_of_vehicles,number_of_casualties,date,day_of_week,time,local_authority_district,local_authority_ons_district,local_authority_highway,local_authority_highway_current,first_road_class,first_road_number,road_type,speed_limit,junction_detail_historic,junction_detail,junction_control,second_road_class,second_road_number,pedestrian_crossing_human_control_historic,pedestrian_crossing_physical_facilities_historic,pedestrian_crossing,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards_historic,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident,trunk_road_flag,lsoa_of_accident_location,enhanced_severity_collision,collision_injury_based,collision_adjusted_severity_serious,collision_adjusted_severity_slight
2024440397401,2024,440397401,458121,83138,-1.17934,50.64504,44,3,2,1,13/09/2024,6,16:20,-1,E06000046,E06000046,E06000046,6,0,6,30,3,13,4,6,0,0,0,0,1,1,1,0,0,0,1,3,2,E01017320,-1,0,0.0743758908870427,0.925624109112957
2024440272196,2024,440272196,450753,86445,-1.28309,50.67546,44,2,2,1,28/06/2024,6,07:24,-1,E06000046,E06000046,E06000046,3,3056,6,40,3,13,4,3,3020,0,0,0,1,1,1,0,0,0,2,1,2,E01017296,-1,0,1,0
2024440427842,2024,440427842,452774,90462,-1.25392,50.7114,44,3,1,1,02/10/2024,4,10:00,-1,E06000046,E06000046,E06000046,6,0,6,60,0,0,-1,0,-1,0,0,0,1,1,1,0,0,0,2,2,2,E01017310,-1,0,0.0485800040256666,0.951419995974333
2024440566771,2024,440566771,463393,86600,-1.1042,50.67562,44,2,2,2,31/12/2024,3,19:38,-1,E06000046,E06000046,E06000046,4,3395,6,40,0,0,-1,0,-1,0,0,0,6,1,2,0,0,0,2,1,2,E01017285,-1,0,1,0
2024440375377,2024,440375377,458160,88382,-1.17797,50.69219,44,3,1,2,01/09/2024,1,16:44,-1,E06000046,E06000046,E06000046,6,0,6,60,0,0,-1,0,-1,0,0,0,1,1,1,0,0,0,2,1,2,E01017283,-1,0,0.272135008715792,0.727864991284208
2024440422797,2024,440422797,456598,83957,-1.20076,50.65255,44,3,1,1,29/09/2024,1,10:11,-1,E06000046,E06000046,E06000046,6,0,6,30,0,0,-1,0,-1,0,0,0,1,1,1,6,0,14,2,1,2,E01017324,-1,0,0.16834262912235,0.83165737087765
2024440510881,2024,440510881,444990,87571,-1.36451,50.68606,44,3,2,1,23/11/2024,7,15:38,-1,E06000046,E06000046,E06000046,4,3401,6,60,0,0,-1,0,-1,0,0,0,1,2,2,0,0,0,2,1,2,E01017294,-1,0,0.129318182790908,0.870681817209092
2024440276755,2024,440276755,451157,94728,-1.27623,50.74991,44,3,2,1,01/07/2024,2,07:28,-1,E06000046,E06000046,E06000046,3,3021,6,30,0,0,-1,0,-1,0,1,13,1,1,1,0,0,0,1,1,2,E01033237,-1,0,0.0554524455667621,0.944547554433238
2024440550816,2024,440550816,449207,91414,-1.30431,50.72028,44,1,1,2,19/12/2024,5,05:49,-1,E06000046,E06000046,E06000046,3,3020,6,40,3,13,4,6,0,0,4,14,4,4,2,0,0,0,2,1,2,E01017334,-1,0,0,0
2024440064765,2024,440064765,454333,92009,-1.23161,50.72517,44,3,2,1,13/02/2024,3,13:30,-1,E06000046,E06000046,E06000046,3,3054,6,30,3,13,4,6,0,0,0,0,1,2,2,0,0,0,2,1,2,E01017368,-1,0,0.218176589160798,0.781823410839202
