collision_index,collision_year,date,time,police_force,collision_severity,number_of_vehicles,number_of_casualties,longitude,latitude,speed_limit,weather_conditions,light_conditions,urban_or_rural_area,vehicle_reference,vehicle_type,vehicle_manoeuvre,sex_of_driver,age_of_driver,age_band_of_driver,journey_purpose_of_driver,generic_make_model,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,casualty_type
2024440002270,2024,02/01/2024,17:25,44,3,1,1,-1.29396,50.70098,30,1,6,1,1,19,9,1,59,9,6,NISSAN NV200,1.0,3.0,1.0,51.0,8.0,3.0,0.0
2024440005303,2024,04/01/2024,17:31,44,3,2,1,-1.14858,50.7154,30,2,4,1,1,9,9,1,83,11,6,MERCEDES C CLASS,,,,,,,
2024440005303,2024,04/01/2024,17:31,44,3,2,1,-1.14858,50.7154,30,2,4,1,2,3,19,1,56,9,6,PIAGGIO FLY,1.0,1.0,1.0,56.0,9.0,3.0,3.0
2024440009385,2024,07/01/2024,18:18,44,3,1,1,-1.26854,50.68825,60,1,6,2,1,9,19,1,19,4,6,-1,1.0,2.0,1.0,20.0,4.0,3.0,9.0
2024440012548,2024,09/01/2024,15:45,44,3,1,1,-1.30636,50.69419,30,1,1,1,1,10,19,1,-1,-1,6,-1,1.0,3.0,1.0,5.0,1.0,3.0,0.0
2024440012840,2024,10/01/2024,01:32,44,3,1,1,-1.16263,50.71167,30,1,6,2,1,9,19,1,18,4,6,-1,1.0,1.0,1.0,18.0,4.0,3.0,9.0
2024440013796,2024,10/01/2024,15:28,44,2,2,1,-1.18261,50.69062,60,1,1,2,1,4,13,1,42,7,6,HONDA CB,1.0,1.0,1.0,42.0,7.0,2.0,4.0
2024440013796,2024,10/01/2024,15:28,44,2,2,1,-1.18261,50.69062,60,1,1,2,2,9,19,1,59,9,6,-1,,,,,,,
2024440014104,2024,10/01/2024,18:31,44,2,1,1,-1.34669,50.69187,60,1,6,2,1,3,19,1,29,6,6,YAMAHA YP,1.0,1.0,1.0,29.0,6.0,2.0,3.0
2024440014651,2024,11/01/2024,08:52,44,2,1,2,-1.41969,50.67672,60,1,1,2,1,9,19,1,79,11,6,HONDA ACCORD,1.0,2.0,2.0,73.0,10.0,3.0,9.0
2024440014651,2024,11/01/2024,08:52,44,2,1,2,-1.41969,50.67672,60,1,1,2,1,9,19,1,79,11,6,HONDA ACCORD,2.0,1.0,1.0,79.0,11.0,2.0,9.0
2024440015281,2024,11/01/2024,14:47,44,2,2,1,-1.23661,50.72552,30,1,1,2,1,9,14,2,76,11,6,VOLKSWAGEN UP,,,,,,,
2024440015281,2024,11/01/2024,14:47,44,2,2,1,-1.23661,50.72552,30,1,1,2,2,9,2,1,49,8,7,NISSAN QASHQAI,1.0,2.0,2.0,23.0,5.0,2.0,9.0
2024440015352,2024,11/01/2024,15:12,44,2,1,1,-1.28061,50.70547,20,1,1,1,1,9,19,2,29,6,6,RENAULT KADJAR,1.0,3.0,1.0,10.0,2.0,2.0,0.0
2024440017260,2024,12/01/2024,19:01,44,3,2,1,-1.21075,50.64811,30,1,6,2,1,9,9,1,91,11,6,VOLKSWAGEN POLO,1.0,1.0,1.0,91.0,11.0,3.0,9.0
2024440017260,2024,12/01/2024,19:01,44,3,2,1,-1.21075,50.64811,30,1,6,2,2,9,19,1,70,10,6,RENAULT CLIO,,,,,,,
2024440017962,2024,13/01/2024,11:43,44,3,2,2,-1.26389,50.72297,50,1,1,2,1,9,4,1,24,5,6,HYUNDAI I20,1.0,2.0,2.0,14.0,3.0,3.0,9.0
2024440017962,2024,13/01/2024,11:43,44,3,2,2,-1.26389,50.72297,50,1,1,2,1,9,4,1,24,5,6,HYUNDAI I20,2.0,2.0,2.0,5.0,1.0,3.0,9.0
2024440017962,2024,13/01/2024,11:43,44,3,2,2,-1.26389,50.72297,50,1,1,2,2,9,4,1,54,8,6,SEAT LEON,,,,,,,
2024440019169,2024,14/01/2024,10:56,44,3,1,1,-1.31121,50.69502,20,4,1,1,1,4,7,1,55,8,6,OTHER BRITISH MODEL MISSING,1.0,1.0,1.0,55.0,8.0,3.0,4.0
2024440022005,2024,16/01/2024,10:21,44,2,3,1,-1.52846,50.67719,30,1,1,2,1,9,19,1,88,11,6,KIA VENGA,1.0,1.0,1.0,88.0,11.0,2.0,9.0
2024440022005,2024,16/01/2024,10:21,44,2,3,1,-1.52846,50.67719,30,1,1,2,2,9,2,3,-1,-1,6,MAZDA 2,,,,,,,
2024440022005,2024,16/01/2024,10:21,44,2,3,1,-1.52846,50.67719,30,1,1,2,3,9,2,3,-1,-1,6,-1,,,,,,,
2024440022054,2024,16/01/2024,10:30,44,3,1,1,-1.30523,50.69607,30,1,1,1,1,9,19,3,-1,-1,6,-1,1.0,3.0,2.0,27.0,6.0,3.0,0.0
2024440024116,2024,17/01/2024,14:38,44,2,2,1,-1.16106,50.73282,30,1,1,1,1,9,5,1,72,10,6,SKODA YETI,,,,,,,
2024440024116,2024,17/01/2024,14:38,44,2,2,1,-1.16106,50.73282,30,1,1,1,2,3,19,1,21,5,2,YAMAHA WR,1.0,1.0,1.0,21.0,5.0,2.0,3.0
2024440025659,2024,18/01/2024,14:50,44,3,4,2,-1.22279,50.65486,50,1,1,2,1,19,19,1,35,6,6,-1,,,,,,,
2024440025659,2024,18/01/2024,14:50,44,3,4,2,-1.22279,50.65486,50,1,1,2,2,9,3,1,59,9,6,MAZDA CX-30,1.0,2.0,1.0,76.0,11.0,3.0,9.0
2024440025659,2024,18/01/2024,14:50,44,3,4,2,-1.22279,50.65486,50,1,1,2,2,9,3,1,59,9,6,MAZDA CX-30,2.0,2.0,2.0,71.0,10.0,3.0,9.0
2024440025659,2024,18/01/2024,14:50,44,3,4,2,-1.22279,50.65486,50,1,1,2,3,9,3,2,36,7,6,MERCEDES E CLASS,,,,,,,
2024440025659,2024,18/01/2024,14:50,44,3,4,2,-1.22279,50.65486,50,1,1,2,4,9,10,1,71,10,6,SUZUKI VITARA,,,,,,,
2024440034525,2024,24/01/2024,18:17,44,3,3,1,-1.14625,50.71497,30,1,4,1,1,9,12,2,28,6,6,VAUXHALL ZAFIRA,1.0,1.0,2.0,28.0,6.0,3.0,9.0
2024440034525,2024,24/01/2024,18:17,44,3,3,1,-1.14625,50.71497,30,1,4,1,2,9,19,2,58,9,6,NISSAN QASHQAI,,,,,,,
2024440034525,2024,24/01/2024,18:17,44,3,3,1,-1.14625,50.71497,30,1,4,1,3,9,19,2,39,7,6,FORD FIESTA,,,,,,,
2024440042400,2024,29/01/2024,21:14,44,3,1,2,-1.47742,50.66456,60,2,6,2,1,9,19,2,24,5,6,FORD FOCUS,1.0,2.0,2.0,17.0,4.0,3.0,9.0
2024440042400,2024,29/01/2024,21:14,44,3,1,2,-1.47742,50.66456,60,2,6,2,1,9,19,2,24,5,6,FORD FOCUS,2.0,2.0,2.0,16.0,4.0,3.0,9.0
2024440045608,2024,31/01/2024,19:15,44,3,1,1,-1.49592,50.68167,60,1,6,2,1,9,19,2,25,5,6,FIAT 500,1.0,1.0,2.0,25.0,5.0,3.0,9.0
2024440045628,2024,31/01/2024,19:30,44,3,2,1,-1.17498,50.6332,30,1,4,1,1,9,9,2,70,10,6,LEXUS NX 300,,,,,,,
2024440045628,2024,31/01/2024,19:30,44,3,2,1,-1.17498,50.6332,30,1,4,1,2,2,19,1,16,4,6,PIAGGIO TYPHOON,1.0,1.0,1.0,16.0,4.0,3.0,2.0
2024440049751,2024,03/02/2024,07:47,44,3,1,1,-1.48776,50.70641,30,1,1,2,1,9,19,2,20,4,6,PEUGEOT 207,1.0,1.0,2.0,20.0,4.0,3.0,9.0
2024440058959,2024,09/02/2024,10:00,44,3,2,1,-1.15249,50.66308,30,2,1,1,1,5,19,1,49,8,6,-1,1.0,1.0,1.0,49.0,8.0,3.0,5.0
2024440058959,2024,09/02/2024,10:00,44,3,2,1,-1.15249,50.66308,30,2,1,1,2,9,4,1,83,11,6,HYUNDAI I10,,,,,,,
2024440064282,2024,13/02/2024,08:14,44,3,2,1,-1.16941,50.64224,30,1,1,1,1,9,19,1,22,5,6,FORD FIESTA,,,,,,,
2024440064282,2024,13/02/2024,08:14,44,3,2,1,-1.16941,50.64224,30,1,1,1,2,9,19,2,50,8,2,NISSAN MICRA,1.0,1.0,2.0,50.0,8.0,3.0,9.0
2024440064765,2024,13/02/2024,13:30,44,3,2,1,-1.23161,50.72517,30,2,1,2,1,90,19,2,23,5,1,-1,,,,,,,
2024440064765,2024,13/02/2024,13:30,44,3,2,1,-1.23161,50.72517,30,2,1,2,2,9,9,1,17,4,6,FORD FIESTA,1.0,3.0,1.0,83.0,11.0,3.0,0.0
2024440064803,2024,13/02/2024,14:13,44,3,2,2,-1.17958,50.63204,30,1,1,1,1,9,19,1,73,10,6,CHEVROLET MATIZ,2.0,2.0,2.0,74.0,10.0,3.0,9.0
2024440064803,2024,13/02/2024,14:13,44,3,2,2,-1.17958,50.63204,30,1,1,1,2,9,19,2,81,11,6,FORD FIESTA,1.0,1.0,2.0,81.0,11.0,3.0,9.0
2024440065214,2024,13/02/2024,18:57,44,3,1,1,-1.20343,50.68675,60,2,6,2,1,9,19,1,35,6,6,BMW 5 SERIES,1.0,1.0,1.0,35.0,6.0,3.0,9.0
2024440066592,2024,14/02/2024,18:03,44,2,2,1,-1.16678,50.72432,30,5,4,1,1,9,9,1,44,7,6,-1,,,,,,,
2024440066592,2024,14/02/2024,18:03,44,2,2,1,-1.16678,50.72432,30,5,4,1,2,1,19,1,50,8,2,-1,1.0,1.0,1.0,50.0,8.0,2.0,1.0
2024440073695,2024,19/02/2024,17:00,44,3,2,1,-1.27812,50.62861,60,1,1,2,1,9,19,1,16,4,6,MINI COOPER,,,,,,,
2024440073695,2024,19/02/2024,17:00,44,3,2,1,-1.27812,50.62861,60,1,1,2,2,9,19,2,72,10,6,NISSAN QASHQAI,1.0,1.0,2.0,72.0,10.0,3.0,9.0
2024440074862,2024,20/02/2024,13:11,44,3,2,1,-1.31597,50.70651,40,1,1,2,1,9,19,1,81,11,6,-1,,,,,,,
